Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2021-04-01;1;300,025;0,000
2021-04-01;2;350,488;0,000
2021-04-01;3;406,413;0,000
2021-04-01;4;512,150;0,000
2021-04-01;5;556,888;0,000
2021-04-01;6;548,575;0,000
2021-04-01;7;557,413;24,250
2021-04-01;8;699,525;217,238
2021-04-01;9;765,550;634,013
2021-04-01;10;505,325;1125,338
2021-04-01;11;363,138;1560,400
2021-04-01;12;629,625;1800,500
2021-04-01;13;1187,400;1925,475
2021-04-01;14;1569,625;1945,163
2021-04-01;15;1853,463;1538,000
2021-04-01;16;1872,800;1095,950
2021-04-01;17;2449,275;694,588
2021-04-01;18;2997,963;411,875
2021-04-01;19;2839,213;161,075
2021-04-01;20;2752,338;21,325
2021-04-01;21;2504,525;0,088
2021-04-01;22;2195,525;0,000
2021-04-01;23;1826,475;0,000
2021-04-01;24;1716,338;0,000
2021-04-02;1;1577,613;0,000
2021-04-02;2;1472,025;0,000
2021-04-02;3;1461,975;0,000
2021-04-02;4;1252,925;0,000
2021-04-02;5;1157,825;0,000
2021-04-02;6;1097,238;0,000
2021-04-02;7;932,463;23,275
2021-04-02;8;726,663;171,388
2021-04-02;9;512,938;485,263
2021-04-02;10;428,050;923,263
2021-04-02;11;580,438;1436,463
2021-04-02;12;933,750;1846,488
2021-04-02;13;1216,900;2156,700
2021-04-02;14;1445,088;2511,363
2021-04-02;15;1740,063;2370,175
2021-04-02;16;1891,363;1989,025
2021-04-02;17;1674,950;1515,700
2021-04-02;18;1420,225;931,313
2021-04-02;19;1038,438;383,800
2021-04-02;20;825,000;41,875
2021-04-02;21;730,500;0,038
2021-04-02;22;703,300;0,000
2021-04-02;23;758,113;0,000
2021-04-02;24;751,113;0,000
2021-04-03;1;745,138;0,000
2021-04-03;2;717,188;0,000
2021-04-03;3;788,313;0,000
2021-04-03;4;757,263;0,000
2021-04-03;5;951,163;0,000
2021-04-03;6;1093,938;0,000
2021-04-03;7;1284,150;21,563
2021-04-03;8;1189,813;206,475
2021-04-03;9;987,950;506,450
2021-04-03;10;1155,225;960,525
2021-04-03;11;1479,000;1344,550
2021-04-03;12;1877,425;1486,038
2021-04-03;13;2163,800;1541,000
2021-04-03;14;2329,688;1484,988
2021-04-03;15;2348,838;1305,625
2021-04-03;16;2546,250;1171,875
2021-04-03;17;2510,975;975,350
2021-04-03;18;2171,813;695,525
2021-04-03;19;1762,575;308,263
2021-04-03;20;1569,138;39,863
2021-04-03;21;1327,600;0,113
2021-04-03;22;1304,163;0,000
2021-04-03;23;1203,650;0,000
2021-04-03;24;1207,200;0,000
2021-04-04;1;1060,075;0,000
2021-04-04;2;1046,050;0,000
2021-04-04;3;1037,613;0,000
2021-04-04;4;1048,800;0,000
2021-04-04;5;1021,613;0,000
2021-04-04;6;930,825;0,000
2021-04-04;7;905,850;25,738
2021-04-04;8;828,113;280,738
2021-04-04;9;562,313;726,488
2021-04-04;10;463,288;1306,113
2021-04-04;11;746,200;1734,000
2021-04-04;12;977,825;2053,913
2021-04-04;13;1153,975;1917,775
2021-04-04;14;1300,625;2048,538
2021-04-04;15;1533,200;2069,775
2021-04-04;16;1892,238;1548,513
2021-04-04;17;2250,788;1472,713
2021-04-04;18;2592,963;861,000
2021-04-04;19;2584,938;447,175
2021-04-04;20;2723,100;70,513
2021-04-04;21;3173,363;0,263
2021-04-04;22;3506,050;0,000
2021-04-04;23;3767,550;0,000
2021-04-04;24;3931,938;0,000
2021-04-05;1;4028,925;0,000
2021-04-05;2;4216,350;0,000
2021-04-05;3;4386,513;0,000
2021-04-05;4;4411,025;0,000
2021-04-05;5;4537,225;0,000
2021-04-05;6;4744,675;0,000
2021-04-05;7;4981,500;36,600
2021-04-05;8;5029,563;323,250
2021-04-05;9;5052,738;780,825
2021-04-05;10;5052,650;1287,700
2021-04-05;11;4389,063;1542,825
2021-04-05;12;3853,338;1798,413
2021-04-05;13;3784,275;1606,338
2021-04-05;14;3725,838;1450,200
2021-04-05;15;4057,638;1250,263
2021-04-05;16;4523,413;796,475
2021-04-05;17;4762,800;595,038
2021-04-05;18;4570,088;431,988
2021-04-05;19;4151,588;184,400
2021-04-05;20;3814,925;33,613
2021-04-05;21;3675,563;0,225
2021-04-05;22;3791,788;0,000
2021-04-05;23;3799,813;0,000
2021-04-05;24;3897,213;0,000
2021-04-06;1;3948,013;0,000
2021-04-06;2;4144,350;0,000
2021-04-06;3;4392,088;0,000
2021-04-06;4;4453,463;0,000
2021-04-06;5;4567,763;0,000
2021-04-06;6;4526,450;0,000
2021-04-06;7;4397,675;33,563
2021-04-06;8;4105,450;238,963
2021-04-06;9;4032,425;528,725
2021-04-06;10;3851,000;835,938
2021-04-06;11;3701,700;1141,813
2021-04-06;12;3569,575;1480,100
2021-04-06;13;3372,388;1507,250
2021-04-06;14;3086,350;1745,363
2021-04-06;15;2854,850;1453,338
2021-04-06;16;2545,875;1229,713
2021-04-06;17;2243,250;1253,825
